[egoonet]2013-08-19 16:27:05,778 DEBUG main org.jboss.logging Logging Provider: org.jboss.logging.Log4jLoggerProvider
[egoonet]2013-08-19 16:27:12,160 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration boolean -> org.hibernate.type.BooleanType@161dfb5
[egoonet]2013-08-19 16:27:12,160 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration boolean -> org.hibernate.type.BooleanType@161dfb5
[egoonet]2013-08-19 16:27:12,160 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@161dfb5
[egoonet]2013-08-19 16:27:12,160 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@136a43c
[egoonet]2013-08-19 16:27:12,160 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration true_false -> org.hibernate.type.TrueFalseType@198cb3d
[egoonet]2013-08-19 16:27:21,225 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration yes_no -> org.hibernate.type.YesNoType@2bc3f5
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration byte -> org.hibernate.type.ByteType@5dcec6
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration byte -> org.hibernate.type.ByteType@5dcec6
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5dcec6
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration character -> org.hibernate.type.CharacterType@4ecfdd
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration char -> org.hibernate.type.CharacterType@4ecfdd
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4ecfdd
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration short -> org.hibernate.type.ShortType@56f631
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration short -> org.hibernate.type.ShortType@56f631
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Short -> org.hibernate.type.ShortType@56f631
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration integer -> org.hibernate.type.IntegerType@3b8b49
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration int -> org.hibernate.type.IntegerType@3b8b49
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3b8b49
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration long -> org.hibernate.type.LongType@1a28362
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration long -> org.hibernate.type.LongType@1a28362
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Long -> org.hibernate.type.LongType@1a28362
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration float -> org.hibernate.type.FloatType@9cb0f4
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration float -> org.hibernate.type.FloatType@9cb0f4
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Float -> org.hibernate.type.FloatType@9cb0f4
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration double -> org.hibernate.type.DoubleType@26dbec
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration double -> org.hibernate.type.DoubleType@26dbec
[egoonet]2013-08-19 16:27:21,228 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@26dbec
[egoonet]2013-08-19 16:27:21,290 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@ff2413
[egoonet]2013-08-19 16:27:21,290 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@ff2413
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration big_integer -> org.hibernate.type.BigIntegerType@13f7281
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@13f7281
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration string -> org.hibernate.type.StringType@7a1576
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.String -> org.hibernate.type.StringType@7a1576
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration nstring -> org.hibernate.type.StringNVarcharType@50988
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@49d67c
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration url -> org.hibernate.type.UrlType@2200d5
[egoonet]2013-08-19 16:27:21,306 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.net.URL -> org.hibernate.type.UrlType@2200d5
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration date -> org.hibernate.type.DateType@11ca803
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.Date -> org.hibernate.type.DateType@11ca803
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration time -> org.hibernate.type.TimeType@79e304
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.Time -> org.hibernate.type.TimeType@79e304
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration timestamp -> org.hibernate.type.TimestampType@e64686
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@e64686
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.Date -> org.hibernate.type.TimestampType@e64686
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@105bd58
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration calendar -> org.hibernate.type.CalendarType@df1832
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@df1832
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@df1832
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4f459c
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration locale -> org.hibernate.type.LocaleType@1576e70
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1576e70
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration currency -> org.hibernate.type.CurrencyType@17494c8
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@17494c8
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration timezone -> org.hibernate.type.TimeZoneType@1e57e8f
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1e57e8f
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration class -> org.hibernate.type.ClassType@888e6c
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Class -> org.hibernate.type.ClassType@888e6c
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@5f6303
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@5f6303
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@bad8a8
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@766a24
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration binary -> org.hibernate.type.BinaryType@104c575
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration byte[] -> org.hibernate.type.BinaryType@104c575
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration [B -> org.hibernate.type.BinaryType@104c575
[egoonet]2013-08-19 16:27:21,322 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1950198
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1950198
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1950198
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration image -> org.hibernate.type.ImageType@1e58cb8
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration characters -> org.hibernate.type.CharArrayType@3ef810
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration char[] -> org.hibernate.type.CharArrayType@3ef810
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration [C -> org.hibernate.type.CharArrayType@3ef810
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@67064
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@67064
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@67064
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration text -> org.hibernate.type.TextType@e0a386
[egoonet]2013-08-19 16:27:21,337 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration ntext -> org.hibernate.type.NTextType@da3a1e
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration blob -> org.hibernate.type.BlobType@1326484
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@1326484
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@1428ea
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration clob -> org.hibernate.type.ClobType@b33d0a
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@b33d0a
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration nclob -> org.hibernate.type.NClobType@513d61
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@513d61
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@1c5fde0
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@1b5340c
[egoonet]2013-08-19 16:27:21,353 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration serializable -> org.hibernate.type.SerializableType@12bcd4b
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration object -> org.hibernate.type.ObjectType@db4fa2
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@db4fa2
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@1e0f2f6
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@16f25a7
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@110c31
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@13785d3
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@32efa7
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@13f991
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@165a3c2
[egoonet]2013-08-19 16:27:21,368 DEBUG main org.hibernate.type.BasicTypeRegistry Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1e228bc
[egoonet]2013-08-19 16:27:21,384 INFO main org.hibernate.annotations.common.Version HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[egoonet]2013-08-19 16:27:21,384 INFO main org.hibernate.Version HHH000412: Hibernate Core {4.2.2.Final}
[egoonet]2013-08-19 16:27:21,400 INFO main org.hibernate.cfg.Environment HHH000206: hibernate.properties not found
[egoonet]2013-08-19 16:27:21,400 INFO main org.hibernate.cfg.Environment HHH000021: Bytecode provider name : javassist
[egoonet]2013-08-19 16:27:21,400 DEBUG main org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
